,ds,dtl_id,name,ncells,nstep,phase,type,volt,vscale,Ek_i,Ek_o,Ek,gamma,beta,Brho,tpass,phi_o,phi_t,phi_c,phi_b
dtl1,0.3,1,dtl1,1,50,181.10000000000002,dtl,0.0,0.018620047584566046,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,4.86526129238499e-09,127.85906676387754,-45.0,-172.85906676387754,0.0
dtl2,0.3,2,dtl2,1,50,190.20000000000002,dtl,0.0,0.019905493624825986,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,1.459578387715497e-08,23.577200291632607,-45.0,-68.57720029163261,0.0
dtl3,0.3,3,dtl3,1,50,196.0,dtl,0.0,0.02089185106310813,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,2.432630646192495e-08,-80.70466618061221,-45.0,35.70466618061221,0.0
dtl4,0.3,4,dtl4,1,50,201.8,dtl,0.0,0.021723388848660388,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,3.405682904669493e-08,175.01346734714275,-45.0,139.98653265285725,0.0
dtl5,0.3,5,dtl5,1,50,207.60000000000002,dtl,0.0,0.022455988344366778,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,4.378735163146491e-08,70.73160087489805,-45.0,-115.73160087489805,0.0
dtl6,0.3,6,dtl6,1,50,213.3,dtl,0.0,0.02311830891522658,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,5.3517874216234895e-08,-33.55026559734688,-45.0,-11.449734402653121,0.0
dtl7,0.3,7,dtl7,1,50,219.00000000000003,dtl,0.0,0.023727375538630156,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,6.324839680100488e-08,-137.8321320695918,-45.0,92.83213206959181,0.0
dtl8,0.3,8,dtl8,1,50,224.70000000000002,dtl,0.0,0.02429428092918027,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,7.297891938577486e-08,117.88600145816326,-45.0,-162.88600145816326,0.0
dtl9,0.3,9,dtl9,1,50,230.3,dtl,0.0,0.02482673011275473,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,8.270944197054484e-08,13.604134985918336,-45.0,-58.604134985918336,0.0
dtl10,0.3,10,dtl10,1,50,235.9,dtl,0.0,0.02533033307179594,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,9.243996455531483e-08,-90.67773148632614,-45.0,45.67773148632614,0.0
dtl11,0.3,11,dtl11,1,50,241.5,dtl,0.0,0.025809324889899864,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,1.0217048714008481e-07,165.04040204142893,-45.0,149.95959795857107,0.0
dtl12,0.3,12,dtl12,1,50,247.00000000000003,dtl,0.0,0.026266995805744556,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,1.119010097248548e-07,60.75853556918355,-45.0,-105.75853556918355,0.0
dtl13,0.3,13,dtl13,1,50,252.5,dtl,0.0,0.026705962373427088,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,1.2163153230962478e-07,-43.52333090306047,-45.0,-1.4766690969395313,0.0
dtl14,0.3,14,dtl14,1,50,257.90000000000003,dtl,0.0,0.027128346084950683,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,1.3136205489439476e-07,-147.8051973753054,-45.0,102.8051973753054,0.0
dtl15,0.3,15,dtl15,1,50,263.4,dtl,0.0,0.027535895353907366,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,1.4109257747916472e-07,107.91293615244876,-45.0,-152.91293615244876,0.0
dtl16,0.3,16,dtl16,1,50,268.8,dtl,0.0,0.027930071376849074,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,1.5082310006393473e-07,3.631069680204746,-45.0,-48.631069680204746,0.0
dtl17,0.3,17,dtl17,1,50,274.20000000000005,dtl,0.0,0.02831211014467051,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,1.6055362264870468e-07,-100.65079679204064,-45.0,55.65079679204064,0.0
dtl18,0.3,18,dtl18,1,50,279.5,dtl,0.0,0.02868306823353456,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,1.702841452334747e-07,155.0673367357149,-45.0,159.9326632642851,0.0
dtl19,0.3,19,dtl19,1,50,284.8,dtl,0.0,0.029043857277978716,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,1.8001466781824465e-07,50.785470263469506,-45.0,-95.7854702634695,0.0
dtl20,0.3,20,dtl20,1,50,290.1,dtl,0.0,0.029395270368261856,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,1.8974519040301466e-07,-53.49639620877406,-45.0,8.496396208774058,0.0
dtl21,0.3,21,dtl21,1,50,295.40000000000003,dtl,0.0,0.029738002570463967,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,1.9947571298778462e-07,-157.77826268102035,-45.0,112.77826268102035,0.0
dtl22,0.3,22,dtl22,1,50,300.6,dtl,0.0,0.03007266709369017,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,2.0920623557255463e-07,97.93987084673608,-45.0,-142.93987084673608,0.0
dtl23,0.3,23,dtl23,1,50,305.8,dtl,0.0,0.030399808182412495,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,2.1893675815732458e-07,-6.341995625509298,-45.0,-38.6580043744907,0.0
dtl24,0.3,24,dtl24,1,50,311.0,dtl,0.0,0.030719911509981452,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,2.286672807420946e-07,-110.62386209775468,-45.0,65.62386209775468,0.0
dtl25,0.3,25,dtl25,1,50,316.20000000000005,dtl,0.0,0.031033412640943416,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,2.3839780332686455e-07,145.09427143000084,-45.0,169.90572856999916,0.0
dtl26,0.3,26,dtl26,1,50,318.20000000000005,dtl,0.0,0.031033412640943416,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,2.481283259116345e-07,40.81240495775455,-45.0,-85.81240495775455,0.0
dtl27,0.3,27,dtl27,1,50,320.1,dtl,0.0,0.031033412640943416,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,2.578588484964045e-07,-63.46946151448901,-45.0,18.469461514489012,0.0
dtl28,0.3,28,dtl28,1,50,322.0,dtl,0.0,0.031033412640943416,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,2.675893710811744e-07,-167.75132798673621,-45.0,122.75132798673621,0.0
dtl29,0.3,29,dtl29,1,50,323.9,dtl,0.0,0.031033412640943416,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,2.7731989366594443e-07,87.96680554101931,-45.0,-132.9668055410193,0.0
dtl30,0.3,30,dtl30,1,50,325.70000000000005,dtl,0.0,0.031033412640943416,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,2.8705041625071433e-07,-16.31506093122698,-45.0,-28.68493906877302,0.0
dtl31,0.3,31,dtl31,1,50,327.5,dtl,0.0,0.031033412640943416,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,2.9678093883548434e-07,-120.59692740347054,-45.0,75.59692740347054,0.0
dtl32,0.3,32,dtl32,1,50,329.4,dtl,0.0,0.031033412640943416,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,3.0651146142025425e-07,135.12120612428225,-45.0,179.87879387571775,0.0
dtl33,0.3,33,dtl33,1,50,331.1,dtl,0.0,0.031033412640943416,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,3.1624198400502426e-07,30.83933965203687,-45.0,-75.83933965203687,0.0
dtl34,0.3,34,dtl34,1,50,332.9,dtl,0.0,0.031033412640943416,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,3.2597250658979416e-07,-73.44252682020851,-45.0,28.442526820208514,0.0
dtl35,0.3,35,dtl35,1,50,334.70000000000005,dtl,0.0,0.031033412640943416,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,3.3570302917456417e-07,-177.72439329245208,-45.0,132.72439329245208,0.0
dtl36,0.3,36,dtl36,1,50,338.3,dtl,0.0,0.031033412640943416,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,3.454335517593341e-07,77.99374023530072,-45.0,-122.99374023530072,0.0
dtl37,0.3,37,dtl37,1,50,342.0,dtl,0.0,0.031033412640943416,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,3.551640743441041e-07,-26.288126236944663,-45.0,-18.711873763055337,0.0
dtl38,0.3,38,dtl38,1,50,345.7,dtl,0.0,0.031033412640943416,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,3.64894596928874e-07,-130.56999270919187,-45.0,85.56999270919187,0.0
dtl39,0.3,39,dtl39,1,50,349.40000000000003,dtl,0.0,0.031033412640943416,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,3.74625119513644e-07,125.14814081856457,-45.0,-170.14814081856457,0.0
dtl40,0.3,40,dtl40,1,50,353.1,dtl,0.0,0.031033412640943416,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,3.843556420984139e-07,20.866274346319187,-45.0,-65.86627434631919,0.0
dtl41,0.3,41,dtl41,1,50,356.8,dtl,0.0,0.031033412640943416,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,3.940861646831839e-07,-83.4155921259262,-45.0,38.415592125926196,0.0
dtl42,0.3,42,dtl42,1,50,360.5,dtl,0.0,0.031033412640943416,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,4.038166872679538e-07,172.3025414018266,-45.0,142.6974585981734,0.0
dtl43,0.3,43,dtl43,1,50,364.2,dtl,0.0,0.031033412640943416,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,4.135472098527238e-07,68.02067492958304,-45.0,-113.02067492958304,0.0
dtl44,0.3,44,dtl44,1,50,367.90000000000003,dtl,0.0,0.031033412640943416,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,4.2327773243749373e-07,-36.261191542664164,-45.0,-8.738808457335836,0.0
dtl45,0.3,45,dtl45,1,50,371.6,dtl,0.0,0.031033412640943416,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,4.3300825502226374e-07,-140.54305801490955,-45.0,95.54305801490955,0.0
dtl46,0.3,46,dtl46,1,50,375.2,dtl,0.0,0.031033412640943416,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,4.4273877760703364e-07,115.17507551284507,-45.0,-160.17507551284507,0.0
dtl47,0.3,47,dtl47,1,50,378.90000000000003,dtl,0.0,0.031033412640943416,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,4.5246930019180365e-07,10.893209040601505,-45.0,-55.893209040601505,0.0
dtl48,0.3,48,dtl48,1,50,382.5,dtl,0.0,0.031033412640943416,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,4.6219982277657356e-07,-93.38865743164388,-45.0,48.38865743164388,0.0
dtl49,0.3,49,dtl49,1,50,386.1,dtl,0.0,0.031033412640943416,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,4.7193034536134357e-07,162.32947609610892,-45.0,152.67052390389108,0.0
dtl50,0.3,50,dtl50,1,50,389.70000000000005,dtl,0.0,0.031033412640943416,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,4.816608679461135e-07,58.047609623863536,-45.0,-103.04760962386354,0.0
dtl51,0.3,51,dtl51,1,50,393.3,dtl,0.0,0.031033412640943416,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,4.913913905308835e-07,-46.23425684838003,-45.0,1.2342568483800278,0.0
dtl52,0.3,52,dtl52,1,50,396.90000000000003,dtl,0.0,0.031033412640943416,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,5.011219131156535e-07,-150.51612332062723,-45.0,105.51612332062723,0.0
dtl53,0.3,53,dtl53,1,50,400.40000000000003,dtl,0.0,0.031033412640943416,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,5.108524357004235e-07,105.20201020713102,-45.0,-150.20201020713102,0.0
dtl54,0.3,54,dtl54,1,50,403.90000000000003,dtl,0.0,0.031033412640943416,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,5.205829582851935e-07,0.9201437348874606,-45.0,-45.92014373488746,0.0
dtl55,0.3,55,dtl55,1,50,407.40000000000003,dtl,0.0,0.031033412640943416,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,5.303134808699635e-07,-103.36172273735974,-45.0,58.36172273735974,0.0
dtl56,0.3,56,dtl56,1,50,410.8,dtl,0.0,0.031033412640943416,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,5.400440034547335e-07,152.3564107903967,-45.0,162.6435892096033,0.0
dtl57,0.3,57,dtl57,1,50,414.20000000000005,dtl,0.0,0.031033412640943416,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,5.497745260395035e-07,48.07454431815313,-45.0,-93.07454431815313,0.0
dtl58,0.3,58,dtl58,1,50,417.6,dtl,0.0,0.031033412640943416,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,5.595050486242735e-07,-56.207322154090434,-45.0,11.207322154090434,0.0
dtl59,0.3,59,dtl59,1,50,421.0,dtl,0.0,0.031033412640943416,10.0,10.0,10.0,1.0053304082440913,0.10284054909452857,0.6469738076638085,5.692355712090436e-07,-160.489188626334,-45.0,115.489188626334,0.0
